Customer_ID,Customer_Segment,Churn_Risk,Purchased_Product,Recommendation_1,Recommendation_2,Recommendation_3,Recommendation_4,Recommendation_5,Recommended_Action
86,Premium Customer,No,Sunglasses,Scarf,Hat,Gloves,Belt,Backpack,Upsell premium / new arrivals
87,At-Risk Customer,No,Hoodie,Skirt,T-shirt,Shorts,Sweater,Shirt,Standard product recommendation
88,Regular Customer,No,Shoes,Sandals,Boots,Sneakers,,,Standard product recommendation
89,At-Risk Customer,No,T-shirt,Skirt,Hoodie,Shorts,Sweater,Shirt,Standard product recommendation
90,Budget Happy Customer,No,Jacket,Coat,,,,,Standard product recommendation
91,At-Risk Customer,Yes,Hat,Jewelry,Scarf,Belt,Sunglasses,Backpack,Send win-back discount
92,Premium Customer,No,Scarf,Sunglasses,Hat,Gloves,Belt,Backpack,Upsell premium / new arrivals
93,Premium Customer,No,Jacket,Coat,,,,,Upsell premium / new arrivals
94,At-Risk Customer,No,Sweater,T-shirt,Dress,Shirt,Skirt,Pants,Standard product recommendation
95,Premium Customer,No,Skirt,Pants,Hoodie,Socks,T-shirt,Jeans,Upsell premium / new arrivals
96,At-Risk Customer,No,Sneakers,Boots,Sandals,Shoes,,,Standard product recommendation
97,At-Risk Customer,No,Gloves,Sunglasses,Scarf,Jewelry,Backpack,Belt,Standard product recommendation
98,High-Value New Customer,No,Shoes,Sneakers,Sandals,Boots,,,Standard product recommendation
99,High-Value New Customer,No,Jeans,Sweater,Socks,Dress,T-shirt,Blouse,Standard product recommendation
100,At-Risk Customer,No,Hoodie,Skirt,T-shirt,Shorts,Sweater,Shirt,Standard product recommendation
101,Budget Happy Customer,No,Sunglasses,Backpack,Gloves,Jewelry,Handbag,Hat,Standard product recommendation
102,At-Risk Customer,No,Coat,Jacket,,,,,Standard product recommendation
103,Premium Customer,No,Socks,Pants,Skirt,Hoodie,T-shirt,Jeans,Upsell premium / new arrivals
104,Premium Customer,No,Boots,Sandals,Shoes,Sneakers,,,Upsell premium / new arrivals
105,Loyal Customer,No,Sunglasses,Jewelry,Scarf,Gloves,Handbag,Belt,Upsell premium / new arrivals
106,High-Value New Customer,Yes,Backpack,Hat,Jewelry,Belt,Sunglasses,Scarf,Send win-back discount
107,Regular Customer,No,Jacket,Coat,,,,,Standard product recommendation
108,At-Risk Customer,No,Sneakers,Sandals,Shoes,Boots,,,Standard product recommendation
109,Premium Customer,No,Socks,Hoodie,Blouse,Sweater,Shirt,T-shirt,Upsell premium / new arrivals
110,Budget Happy Customer,No,T-shirt,Pants,Socks,Shirt,Shorts,Skirt,Standard product recommendation
111,Regular Customer,No,Backpack,Jewelry,Scarf,Sunglasses,Hat,Gloves,Standard product recommendation
112,High-Value New Customer,Yes,Belt,Gloves,Handbag,Jewelry,Sunglasses,Scarf,Send win-back discount
113,At-Risk Customer,No,Gloves,Backpack,Sunglasses,Hat,Scarf,Jewelry,Standard product recommendation
114,Budget Happy Customer,No,Hat,Sunglasses,Backpack,Jewelry,Handbag,Belt,Standard product recommendation
115,Premium Customer,No,Coat,Jacket,,,,,Upsell premium / new arrivals
116,Premium Customer,No,Skirt,Pants,Sweater,Blouse,Dress,Shirt,Upsell premium / new arrivals
117,High-Value New Customer,No,Shoes,Sneakers,Boots,Sandals,,,Standard product recommendation
118,Regular Customer,No,Sandals,Sneakers,Boots,Shoes,,,Standard product recommendation
119,Premium Customer,No,Sweater,Jeans,Pants,Blouse,Socks,Hoodie,Upsell premium / new arrivals
120,High-Value New Customer,No,Coat,Jacket,,,,,Standard product recommendation
121,High-Value New Customer,No,Hat,Scarf,Jewelry,Handbag,Belt,Backpack,Standard product recommendation
122,Loyal Customer,No,Shorts,Pants,T-shirt,Sweater,Jeans,Shirt,Upsell premium / new arrivals
123,At-Risk Customer,No,Backpack,Belt,Gloves,Hat,Handbag,Sunglasses,Standard product recommendation
124,Premium Customer,No,Sweater,Pants,Skirt,Blouse,Dress,Shirt,Upsell premium / new arrivals
125,High-Value New Customer,No,Sweater,T-shirt,Dress,Socks,Shirt,Pants,Standard product recommendation
126,At-Risk Customer,No,Shorts,Dress,T-shirt,Sweater,Jeans,Shirt,Standard product recommendation
127,At-Risk Customer,No,Shorts,Skirt,Hoodie,T-shirt,Sweater,Shirt,Standard product recommendation
128,At-Risk Customer,No,Sweater,Hoodie,Socks,Pants,T-shirt,Dress,Standard product recommendation
129,Loyal Customer,No,Scarf,Jewelry,Sunglasses,Gloves,Handbag,Belt,Upsell premium / new arrivals
130,At-Risk Customer,No,Dress,T-shirt,Sweater,Shirt,Skirt,Pants,Standard product recommendation
131,Loyal Customer,No,Scarf,Gloves,Handbag,Jewelry,Hat,Belt,Upsell premium / new arrivals
132,At-Risk Customer,No,Skirt,Hoodie,T-shirt,Shorts,Sweater,Shirt,Standard product recommendation
133,At-Risk Customer,No,Backpack,Gloves,Sunglasses,Hat,Scarf,Jewelry,Standard product recommendation
134,High-Value New Customer,No,Sweater,Socks,Jeans,Dress,T-shirt,Blouse,Standard product recommendation
135,Premium Customer,No,Hat,Sunglasses,Scarf,Gloves,Belt,Backpack,Upsell premium / new arrivals
136,Premium Customer,No,Sandals,Boots,Shoes,Sneakers,,,Upsell premium / new arrivals
137,Budget Happy Customer,No,Blouse,Dress,Skirt,Shorts,Sweater,Jeans,Standard product recommendation
138,Premium Customer,No,Sneakers,Sandals,Boots,Shoes,,,Upsell premium / new arrivals
139,Regular Customer,No,Skirt,Hoodie,Dress,Sweater,Shorts,Jeans,Standard product recommendation
140,High-Value New Customer,No,Coat,Jacket,,,,,Standard product recommendation
141,Regular Customer,No,Shirt,Blouse,Skirt,Sweater,T-shirt,Dress,Standard product recommendation
142,Premium Customer,No,Gloves,Jewelry,Belt,Hat,Backpack,Sunglasses,Upsell premium / new arrivals
143,Budget Happy Customer,No,Jacket,Coat,,,,,Standard product recommendation
144,Budget Happy Customer,No,Coat,Jacket,Jeans,Hoodie,Sweater,Dress,Standard product recommendation
145,At-Risk Customer,Yes,Shoes,Sneakers,Sandals,Boots,,,Send win-back discount
146,At-Risk Customer,No,Jewelry,Gloves,Scarf,Sunglasses,Belt,Handbag,Standard product recommendation
147,Regular Customer,No,Skirt,Hoodie,Dress,Sweater,Shorts,Jeans,Standard product recommendation
148,Regular Customer,No,Shoes,Sandals,Boots,Sneakers,,,Standard product recommendation
149,High-Value New Customer,No,Gloves,Scarf,Sunglasses,Backpack,Handbag,Jewelry,Standard product recommendation
150,Budget Happy Customer,No,Pants,Jeans,Skirt,Hoodie,Shorts,Sweater,Standard product recommendation
151,Premium Customer,No,Boots,Sandals,Shoes,Sneakers,,,Upsell premium / new arrivals
152,High-Value New Customer,Yes,Sunglasses,Handbag,Belt,Hat,Backpack,Jewelry,Send win-back discount
153,High-Value New Customer,No,Shirt,Hoodie,T-shirt,Dress,Sweater,Socks,Standard product recommendation
154,High-Value New Customer,No,Hoodie,Pants,Sweater,Jeans,Skirt,Shirt,Standard product recommendation
155,Budget Happy Customer,No,Dress,Skirt,Shorts,Sweater,Jeans,Shirt,Standard product recommendation
156,Premium Customer,No,Socks,Pants,Skirt,Hoodie,T-shirt,Jeans,Upsell premium / new arrivals
157,High-Value New Customer,No,Shorts,Blouse,Pants,Dress,Shirt,Jeans,Standard product recommendation
158,Budget Happy Customer,No,Hat,Sunglasses,Backpack,Jewelry,Handbag,Belt,Standard product recommendation
159,At-Risk Customer,No,Shirt,T-shirt,Sweater,Dress,Skirt,Pants,Standard product recommendation
160,Regular Customer,No,Gloves,Backpack,Scarf,Sunglasses,Jewelry,Handbag,Standard product recommendation
161,At-Risk Customer,No,Gloves,Belt,Backpack,Hat,Handbag,Sunglasses,Standard product recommendation
162,Regular Customer,No,Backpack,Gloves,Scarf,Sunglasses,Jewelry,Handbag,Standard product recommendation
163,Budget Happy Customer,No,Sunglasses,Hat,Backpack,Jewelry,Handbag,Belt,Standard product recommendation
164,Budget Happy Customer,No,Skirt,Jeans,Pants,Hoodie,Shorts,Sweater,Standard product recommendation
165,Budget Happy Customer,No,Handbag,Gloves,Belt,Backpack,Sunglasses,Hat,Standard product recommendation
166,Budget Happy Customer,No,Handbag,Gloves,Belt,Backpack,Sunglasses,Hat,Standard product recommendation
167,Regular Customer,No,Sneakers,Sandals,Boots,Shoes,,,Standard product recommendation
168,Loyal Customer,No,Gloves,Jewelry,Sunglasses,Scarf,Handbag,Belt,Upsell premium / new arrivals
169,Budget Happy Customer,No,Shoes,Sandals,Sneakers,Boots,,,Standard product recommendation
170,Loyal Customer,No,Jacket,Coat,,,,,Upsell premium / new arrivals
171,Regular Customer,No,Shirt,T-shirt,Socks,Dress,Pants,Hoodie,Standard product recommendation
172,Loyal Customer,No,Shorts,Blouse,Skirt,Pants,Jeans,Hoodie,Upsell premium / new arrivals
173,Premium Customer,No,Jewelry,Hat,Scarf,Belt,Sunglasses,Gloves,Upsell premium / new arrivals
174,High-Value New Customer,Yes,Hat,Belt,Jewelry,Sunglasses,Gloves,Scarf,Send win-back discount
175,High-Value New Customer,No,Shoes,Sandals,Sneakers,Boots,,,Standard product recommendation
176,High-Value New Customer,Yes,Coat,Jacket,Shorts,Hoodie,Skirt,T-shirt,Send win-back discount
177,Budget Happy Customer,No,Backpack,Gloves,Jewelry,Handbag,Hat,Belt,Standard product recommendation
178,At-Risk Customer,No,Hoodie,Skirt,T-shirt,Shorts,Sweater,Shirt,Standard product recommendation
179,Regular Customer,No,Skirt,Hoodie,Dress,Sweater,Shorts,Jeans,Standard product recommendation
180,Loyal Customer,No,Boots,Shoes,Sandals,Sneakers,,,Upsell premium / new arrivals
181,Budget Happy Customer,No,Sandals,Shoes,Sneakers,Boots,,,Standard product recommendation
182,Loyal Customer,No,Pants,Shorts,T-shirt,Sweater,Jeans,Shirt,Upsell premium / new arrivals
183,High-Value New Customer,No,Gloves,Scarf,Sunglasses,Backpack,Handbag,Jewelry,Standard product recommendation
184,Regular Customer,No,Skirt,Blouse,Shirt,Sweater,T-shirt,Dress,Standard product recommendation
185,At-Risk Customer,Yes,Sneakers,Sandals,Shoes,Boots,,,Send win-back discount
186,At-Risk Customer,No,T-shirt,Shorts,Pants,Hoodie,Sweater,Dress,Standard product recommendation
187,High-Value New Customer,No,Backpack,Handbag,Jewelry,Scarf,Gloves,Hat,Standard product recommendation
188,Budget Happy Customer,No,Shoes,Sandals,Sneakers,Boots,,,Standard product recommendation
189,Budget Happy Customer,No,Hoodie,Jeans,Pants,Skirt,Shorts,Sweater,Standard product recommendation
190,Loyal Customer,No,Blouse,Socks,Jeans,Sweater,Hoodie,Pants,Upsell premium / new arrivals
191,Regular Customer,No,Coat,Jacket,,,,,Standard product recommendation
192,Premium Customer,No,Hat,Scarf,Jewelry,Belt,Sunglasses,Gloves,Upsell premium / new arrivals
193,Regular Customer,No,Shoes,Boots,Sandals,Sneakers,,,Standard product recommendation
194,High-Value New Customer,No,Belt,Hat,Scarf,Jewelry,Handbag,Gloves,Standard product recommendation
195,Budget Happy Customer,No,Backpack,Belt,Sunglasses,Hat,Scarf,Gloves,Standard product recommendation
196,Regular Customer,No,Jacket,Coat,,,,,Standard product recommendation
197,At-Risk Customer,No,Boots,Sneakers,Sandals,Shoes,,,Standard product recommendation
198,Premium Customer,No,Scarf,Hat,Jewelry,Belt,Sunglasses,Gloves,Upsell premium / new arrivals
199,Premium Customer,No,Jewelry,Gloves,Belt,Hat,Backpack,Sunglasses,Upsell premium / new arrivals
200,Premium Customer,No,Hat,Scarf,Jewelry,Belt,Sunglasses,Gloves,Upsell premium / new arrivals
201,At-Risk Customer,No,Dress,Shorts,T-shirt,Sweater,Jeans,Shirt,Standard product recommendation
202,High-Value New Customer,No,Blouse,Pants,Dress,Shirt,Jeans,Sweater,Standard product recommendation
203,High-Value New Customer,Yes,Hat,Handbag,Belt,Scarf,Sunglasses,Backpack,Send win-back discount
204,Regular Customer,No,Scarf,Gloves,Backpack,Sunglasses,Jewelry,Handbag,Standard product recommendation
205,At-Risk Customer,No,Sneakers,Sandals,Boots,Shoes,,,Standard product recommendation
206,Regular Customer,No,Shirt,Hoodie,Shorts,Socks,Pants,T-shirt,Standard product recommendation
207,Loyal Customer,No,T-shirt,Pants,Shorts,Sweater,Jeans,Shirt,Upsell premium / new arrivals
208,Budget Happy Customer,No,Gloves,Backpack,Jewelry,Handbag,Hat,Belt,Standard product recommendation
209,Regular Customer,No,Skirt,Hoodie,Dress,Sweater,Shorts,Jeans,Standard product recommendation
210,Premium Customer,No,Sandals,Shoes,Boots,Sneakers,,,Upsell premium / new arrivals
211,Regular Customer,No,Jacket,Coat,,,,,Standard product recommendation
212,Premium Customer,No,Skirt,Jeans,Pants,Sweater,Shirt,T-shirt,Upsell premium / new arrivals
213,High-Value New Customer,Yes,Handbag,Belt,Backpack,Hat,Sunglasses,Scarf,Send win-back discount
214,Loyal Customer,No,Handbag,Sunglasses,Belt,Jewelry,Gloves,Scarf,Upsell premium / new arrivals
215,At-Risk Customer,No,Jacket,Coat,,,,,Standard product recommendation
216,Regular Customer,No,Scarf,Jewelry,Belt,Handbag,Sunglasses,Backpack,Standard product recommendation
217,Budget Happy Customer,No,Shorts,Jeans,Pants,Skirt,Hoodie,Sweater,Standard product recommendation
218,High-Value New Customer,No,Sunglasses,Jewelry,Gloves,Scarf,Handbag,Belt,Standard product recommendation
219,Loyal Customer,No,T-shirt,Socks,Jeans,Blouse,Shorts,Shirt,Upsell premium / new arrivals
220,Budget Happy Customer,No,Belt,Sunglasses,Hat,Scarf,Backpack,Gloves,Standard product recommendation
221,At-Risk Customer,No,Sneakers,Sandals,Shoes,Boots,,,Standard product recommendation
222,Loyal Customer,No,Hat,Gloves,Handbag,Belt,Jewelry,Backpack,Upsell premium / new arrivals
223,Premium Customer,No,Gloves,Sunglasses,Scarf,Hat,Belt,Backpack,Upsell premium / new arrivals
224,High-Value New Customer,No,Pants,Blouse,Dress,Shirt,Jeans,Sweater,Standard product recommendation
225,Budget Happy Customer,No,Socks,Pants,T-shirt,Shirt,Shorts,Skirt,Standard product recommendation
226,High-Value New Customer,Yes,Jacket,Coat,,,,,Send win-back discount
227,Budget Happy Customer,No,Shoes,Sneakers,Boots,Sandals,,,Standard product recommendation
228,Premium Customer,No,Jeans,Skirt,Pants,Sweater,Shirt,T-shirt,Upsell premium / new arrivals
229,High-Value New Customer,No,Socks,Sweater,Jeans,Dress,T-shirt,Blouse,Standard product recommendation
230,Regular Customer,No,Sandals,Sneakers,Boots,Shoes,,,Standard product recommendation
231,High-Value New Customer,No,Scarf,Hat,Jewelry,Handbag,Belt,Backpack,Standard product recommendation
232,Loyal Customer,No,Blouse,Shorts,Skirt,Pants,Jeans,Hoodie,Upsell premium / new arrivals
233,Regular Customer,No,Jewelry,Backpack,Scarf,Sunglasses,Hat,Gloves,Standard product recommendation
234,At-Risk Customer,No,Sweater,Hoodie,Socks,Pants,T-shirt,Dress,Standard product recommendation
235,Loyal Customer,No,Gloves,Handbag,Jewelry,Hat,Scarf,Belt,Upsell premium / new arrivals
236,Budget Happy Customer,No,Sunglasses,Belt,Hat,Scarf,Backpack,Gloves,Standard product recommendation
237,At-Risk Customer,No,Coat,Jacket,,,,,Standard product recommendation
238,Budget Happy Customer,No,Dress,Skirt,Shorts,Sweater,Jeans,Shirt,Standard product recommendation
239,High-Value New Customer,Yes,Skirt,Sweater,Hoodie,Dress,T-shirt,Blouse,Send win-back discount
240,Regular Customer,No,Pants,Sweater,Jeans,Dress,T-shirt,Shirt,Standard product recommendation
241,Regular Customer,No,Sweater,Blouse,Shirt,Skirt,T-shirt,Dress,Standard product recommendation
242,At-Risk Customer,No,Hoodie,Sweater,Socks,Pants,T-shirt,Dress,Standard product recommendation
243,Premium Customer,No,Coat,Jacket,,,,,Upsell premium / new arrivals
244,Budget Happy Customer,No,Jewelry,Backpack,Gloves,Handbag,Hat,Belt,Standard product recommendation
245,Premium Customer,No,Belt,Gloves,Jewelry,Hat,Backpack,Sunglasses,Upsell premium / new arrivals
246,Regular Customer,No,Sandals,Shoes,Boots,Sneakers,,,Standard product recommendation
247,Budget Happy Customer,No,Sunglasses,Belt,Hat,Scarf,Backpack,Gloves,Standard product recommendation
248,Loyal Customer,No,Sweater,Pants,Shorts,T-shirt,Jeans,Shirt,Upsell premium / new arrivals
249,Premium Customer,No,Belt,Sunglasses,Scarf,Hat,Gloves,Backpack,Upsell premium / new arrivals
250,High-Value New Customer,No,Handbag,Scarf,Jewelry,Gloves,Backpack,Sunglasses,Standard product recommendation
251,Loyal Customer,No,Skirt,Dress,Sweater,Pants,Jeans,Shirt,Upsell premium / new arrivals
252,High-Value New Customer,No,Handbag,Backpack,Jewelry,Scarf,Gloves,Hat,Standard product recommendation
253,At-Risk Customer,No,Shorts,Skirt,Hoodie,T-shirt,Sweater,Shirt,Standard product recommendation
254,Premium Customer,No,Boots,Sandals,Sneakers,Shoes,,,Upsell premium / new arrivals
255,Regular Customer,No,Sunglasses,Gloves,Backpack,Scarf,Jewelry,Handbag,Standard product recommendation
256,High-Value New Customer,No,Scarf,Handbag,Jewelry,Gloves,Backpack,Sunglasses,Standard product recommendation
257,Regular Customer,No,Jewelry,Backpack,Scarf,Sunglasses,Hat,Gloves,Standard product recommendation
258,Loyal Customer,No,Handbag,Gloves,Hat,Belt,Jewelry,Backpack,Upsell premium / new arrivals
259,Budget Happy Customer,No,Gloves,Handbag,Belt,Backpack,Sunglasses,Hat,Standard product recommendation
260,High-Value New Customer,No,Jeans,Sweater,Socks,Dress,T-shirt,Blouse,Standard product recommendation
261,Budget Happy Customer,No,Hat,Sunglasses,Backpack,Jewelry,Handbag,Belt,Standard product recommendation
262,High-Value New Customer,No,Jeans,Pants,Sweater,Socks,Dress,Shorts,Standard product recommendation
263,High-Value New Customer,Yes,Pants,Sweater,Shirt,Blouse,Hoodie,Socks,Send win-back discount
264,At-Risk Customer,No,Shorts,T-shirt,Pants,Hoodie,Sweater,Dress,Standard product recommendation
265,High-Value New Customer,No,Pants,Sweater,Jeans,Skirt,Shirt,Hoodie,Standard product recommendation
266,Budget Happy Customer,No,Backpack,Hat,Sunglasses,Jewelry,Handbag,Belt,Standard product recommendation
267,Budget Happy Customer,No,Jewelry,Hat,Sunglasses,Backpack,Handbag,Belt,Standard product recommendation
268,High-Value New Customer,No,Sweater,Pants,Jeans,Skirt,Shirt,Hoodie,Standard product recommendation
269,Regular Customer,No,Shoes,Boots,Sandals,Sneakers,,,Standard product recommendation
270,Regular Customer,No,Blouse,Shirt,Skirt,Sweater,T-shirt,Dress,Standard product recommendation
271,High-Value New Customer,No,Jeans,Pants,Sweater,Socks,Dress,Shorts,Standard product recommendation
272,Premium Customer,No,Sunglasses,Jewelry,Belt,Scarf,Hat,Gloves,Upsell premium / new arrivals
273,Regular Customer,No,Jewelry,Backpack,Scarf,Sunglasses,Hat,Gloves,Standard product recommendation
274,Regular Customer,No,Coat,Jacket,,,,,Standard product recommendation
275,Regular Customer,No,Jewelry,Gloves,Backpack,Scarf,Sunglasses,Handbag,Standard product recommendation
276,Premium Customer,No,Backpack,Sunglasses,Scarf,Hat,Gloves,Belt,Upsell premium / new arrivals
